0004778;The Pianist;1;1
0000474;Birdman or (The Unexpected Virtue of Ignorance);0;1
0000671;A Simple Plan,Sling Blade,Sling Blade;1;3
0915989;NA;0;0
0001731;The Right Stuff;0;1
0000179;Cold Mountain,The Talented Mr. Ripley;0;2
0001691;The King's Speech,Quills,Shakespeare in Love,Shine;1;4
0000905;La vita è bella,La vita è bella,La vita è bella;1;2
0001638;NA;0;0
0000285;The Cooler;0;1
0001212;NA;0;0
0462407;NA;0;0
0000719;Amadeus;1;1
0000849;Biutiful,No Country for Old Men,Before Night Falls;1;3
0000078;True Grit,The Alamo,Sands of Iwo Jima;1;3
0350453;Brokeback Mountain;0;1
0628955;The Killing Fields;1;1
0001557;Eastern Promises;0;1
0910607;Django Unchained,Inglourious Basterds;2;2
0001125;21 Grams,Traffic;1;2
0000063;Alexis Zorbas,Wild Is the Wind,Lust for Life,Viva Zapata!;2;4
0000604;Chicago;0;1
0000454;Hoosiers,Easy Rider;0;2
0000640;NA;0;0
0000052;Oci ciornie,Una giornata particolare,Divorzio all'italiana;0;3
0000424;NA;0;0
0000634;Being There,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,The Running Jumping & Standing Still Film;0;3
0504897;NA;0;0
0000501;NA;0;0
0185819;NA;0;0
0000195;Lost in Translation;0;1
0000131;NA;0;0
0000249;Ghosts of Mississippi,Salvador;0;2
0479471;NA;0;0
0001627;Lilies of the Field,The Defiant Ones;2;3
0654110;Closer;0;1
0000150;NA;0;0
0000513;Fargo;0;1
0000092;A Fish Called Wanda;0;1
0001715;The Hospital,Patton,The Hustler,Anatomy of a Murder;1;4
0000597;NA;0;0
0000114;NA;0;0
0000112;NA;0;0
0000661;NA;0;0
0000095;Blue Jasmine,Midnight in Paris,Midnight in Paris,Match Point,Deconstructing Harry,Mighty Aphrodite,Bullets Over Broadway,Bullets Over Broadway,Husbands and Wives,Alice,Crimes and Misdemeanors,Crimes and Misdemeanors,Radio Days,Hannah and Her Sisters,Hannah and Her Sisters,The Purple Rose of Cairo,Broadway Danny Rose,Broadway Danny Rose,Manhattan,Interiors,Interiors,Annie Hall,Annie Hall,Annie Hall;3;19
0000191;NA;0;0
0001497;NA;0;0
0000412;The Godfather: Part III;0;1
0000421;Jerry Maguire;1;1
0000375;Tropic Thunder,Chaplin;0;2
0000111;NA;0;0
0000641;Forrest Gump;0;1
0000602;Quiz Show,Quiz Show,Ordinary People,The Sting;2;4
0001492;NA;0;0
0000342;Babe;0;1
0268199;NA;0;0
0000662;NA;0;0
0000018;Lust for Life,The Bad and the Beautiful,Champion;1;4
0001277;NA;0;0
0001326;NA;0;0
0000546;NA;0;0
0005212;The Lord of the Rings: The Fellowship of the Ring,Gods and Monsters;0;2
0000160;Boyhood,Before Midnight,Before Sunset,Training Day;0;4
0000225;NA;0;0
0001667;NA;0;0
0001029;NA;0;0
0000483;NA;0;0
0089217;NA;0;0
0749263;Foxcatcher,The Kids Are All Right;0;2
0413168;Les Misérables;0;1
0000489;NA;0;0
0000297;Platoon;0;1
0000619;Rob Roy;0;1
0001811;Hot Millions,Topkapi,Spartacus,Quo Vadis;2;4
0001772;NA;0;0
0000554;NA;0;0
0001868;NA;0;0
0001133;NA;0;0
0001371;Amadeus;0;1
0000369;Crash;0;1
0001016;NA;0;0
0641939;Love Story;0;1
0000621;NA;0;0
0000332;Hotel Rwanda;0;1
0001173;NA;0;0
0000120;NA;0;0
0700856;NA;0;0
0000592;In the Name of the Father;0;1
0000287;NA;0;0
0004051;NA;0;0
0000255;Argo,Good Will Hunting;2;2
0386472;NA;0;0
0420955;The Visitor;0;1
0000704;NA;0;0
0000321;NA;0;0
0000598;NA;0;0
0000549;NA;0;0
0213912;NA;0;0
0000230;Rocky,Rocky;0;1
0000467;NA;0;0
0078517;NA;0;0
0001765;NA;0;0
0000606;NA;0;0
0001806;NA;0;0
0000090;Shine;0;1
0001725;Lawrence of Arabia;0;1
0000221;NA;0;0
1219950;NA;0;0
0000314;NA;0;0
0001018;Nashville;1;1
0000418;NA;0;0
0001096;NA;0;0
0000681;NA;0;0
0005068;NA;0;0
0001993;NA;0;0
0005458;NA;0;0
0586568;NA;0;0
0001579;Stand and Deliver;0;1
0202966;NA;0;0
0001101;NA;0;0
0003817;The Green Mile;0;1
0001215;Erin Brockovich,Under the Volcano,The Dresser,Murder on the Orient Express,Tom Jones;0;5
0001812;NA;0;0
0000156;Little Surprises;0;1
0001354;NA;0;0
0001804;The Lovely Bones;0;1
0001556;NA;0;0
0000653;NA;0;0
0004937;Ray,Collateral;1;2
0001311;NA;0;0
0000901;NA;0;0
0001295;Dances with Wolves;0;1
0001702;All That Jazz,The French Connection;0;2
0000685;Ali,Runaway Train,Coming Home,Midnight Cowboy;1;4
0001536;NA;0;0
0051509;NA;0;0
0290556;127 Hours;0;1
0085312;NA;0;0
0000389;NA;0;0
0000293;NA;0;0
0000086;NA;0;0
0100186;NA;0;0
0893341;NA;0;0
0000493;Missing,Tribute,The China Syndrome,Save the Tiger,Days of Wine and Roses,The Apartment,Some Like It Hot,Mister Roberts;2;8
0138770;Harry and Tonto;1;1
0002075;Network,Sunday Bloody Sunday;1;2
0590055;Ryan's Daughter;1;1
0424565;The Last Picture Show;1;1
0001297;Cabaret;1;1
0122675;The Sunshine Boys;1;1
0002048;Being There,I Never Sang for My Father,Hud;2;3
0000459;Ordinary People;1;1
0000655;NA;0;0
0001283;An Officer and a Gentleman;1;1
0000747;Cocoon;1;1
0001228;Ulee's Gold,Easy Rider;0;2
0000558;NA;0;0
0001172;NA;0;0
0001637;NA;0;0
0859365;NA;0;0
0002077;NA;0;0
0000104;NA;0;0
1055413;12 Years a Slave;0;1
