"coef";"director"
0,118986467378458;"W.S. Van Dyke";"https://encrypted-tbn2.gstatic.com/images?q=tbn%3AANd9GcTFUWO2b1CWrbJdMOmcJ7IpprcCcnmQdAE8QArPkVhuaqp-QjPS5g"
0,115834932821501;"Çagan Irmak";"https://encrypted-tbn2.gstatic.com/images?q=tbn%3AANd9GcTFUWO2b1CWrbJdMOmcJ7IpprcCcnmQdAE8QArPkVhuaqp-QjPS5g"
0,111285846438482;"Thomas Vinterberg";"http://ia.media-imdb.com/images/M/MV5BMTAzNzE4OTAwMTdeQTJeQWpwZ15BbWU2MDEwNjMyNQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
0,108747210710865;"Kenji Misumi";"https://encrypted-tbn2.gstatic.com/images?q=tbn%3AANd9GcTFUWO2b1CWrbJdMOmcJ7IpprcCcnmQdAE8QArPkVhuaqp-QjPS5g"
0,105339805825242;"Damián Szifrón";"http://ia.media-imdb.com/images/M/MV5BNzQ2NTYyODAzMV5BMl5BanBnXkFtZTgwNzM1NDUxNDE@._V1_UX214_CR0,0,214,317_AL_.jpg"
