"director";"soma";"n_filmes";"variacao";"media"
"Michael Curtiz";1028,8;169;1,25599492275438;6,08757396449704;"http://ia.media-imdb.com/images/M/MV5BMTcyMjA2MTgwNF5BMl5BanBnXkFtZTYwMTcwMDY2._V1_UY317_CR8,0,214,317_AL_.jpg"
"Sam Wood";919,2;164;2,47732799055085;5,60487804878049;"https://encrypted-tbn2.gstatic.com/images?q=tbn%3AANd9GcTFUWO2b1CWrbJdMOmcJ7IpprcCcnmQdAE8QArPkVhuaqp-QjPS5g"
"Ernst Lubitsch";689,4;134;3,08404985098088;5,14477611940299;"http://ia.media-imdb.com/images/M/MV5BMjEwMDI0ODEzMF5BMl5BanBnXkFtZTYwMDg2MjI2._V1_UY317_CR19,0,214,317_AL_.jpg"
"Raoul Walsh";594;120;2,79828879282808;4,95;"https://encrypted-tbn2.gstatic.com/images?q=tbn%3AANd9GcTFUWO2b1CWrbJdMOmcJ7IpprcCcnmQdAE8QArPkVhuaqp-QjPS5g"
"John Ford";696,8;119;1,474339695868;5,85546218487395;"http://ia.media-imdb.com/images/M/MV5BMTI5NDczOTUzMV5BMl5BanBnXkFtZTcwNDE3NDkwNA@@._V1_UY317_CR19,0,214,317_AL_.jpg"
