"director";"soma";"n_filmes";"variacao";"media"
"Jack Conway";330,9;95;3,38534553475678;3,48315789473684;"https://encrypted-tbn2.gstatic.com/images?q=tbn%3AANd9GcTFUWO2b1CWrbJdMOmcJ7IpprcCcnmQdAE8QArPkVhuaqp-QjPS5g"
"Victor Sjöström";195;53;3,54424552514712;3,67924528301887;"http://ia.media-imdb.com/images/M/MV5BMTQwMzk0OTQ2Ml5BMl5BanBnXkFtZTcwNjg5MDI2NQ@@._V1_UY317_CR135,0,214,317_AL_.jpg"
"Edward Sedgwick";300,4;79;3,01049338675208;3,80253164556962;"https://encrypted-tbn2.gstatic.com/images?q=tbn%3AANd9GcTFUWO2b1CWrbJdMOmcJ7IpprcCcnmQdAE8QArPkVhuaqp-QjPS5g"
"Kenji Mizoguchi";365,7;96;3,62900821959592;3,809375;"http://ia.media-imdb.com/images/M/MV5BMTkyMzYzOTgxN15BMl5BanBnXkFtZTgwNjA0NDE2MjE@._V1_UY317_CR131,0,214,317_AL_.jpg"
"Henry King";448,5;111;3,24640719952992;4,04054054054054;"https://encrypted-tbn2.gstatic.com/images?q=tbn%3AANd9GcTFUWO2b1CWrbJdMOmcJ7IpprcCcnmQdAE8QArPkVhuaqp-QjPS5g"
