"director";"soma";"n_filmes";"variacao";"media"
"Dragan Bjelogrlic";16,9;2;0,0707106781186545;8,45
"Rajkumar Hirani";33,4;4;0,129099444873581;8,35
"Moustapha Akkad";25,8;3;0,2;8,6
"Robert Bresson";99,7;13;0,301066480434182;7,66923076923077
"Hayao Miyazaki";96,2;12;0,321455025366432;8,01666666666667
