"director";"soma";"n_filmes";"variacao";"media"
"Dragan Bjelogrlic";16,9;2;0,0707106781186545;8,45
"Dusan Kovacevic";17,2;2;0,424264068711928;8,6
"Kátia Lund";16,3;2;0,777817459305202;8,15
"Moustapha Akkad";25,8;3;0,2;8,6
"Shimit Amin";23,9;3;0,45092497528229;7,96666666666667
